Season,Time of day,Humidity (%)
Summer,01:00,40.37
Autumn,21:00,33.46
Winter,05:00,25.43
Summer,14:00,42.1
Spring,20:00,39.3
Not Available,20:00,30.96
Spring,00:00,49.9
Spring,17:00,31.61
Spring,14:00,33.68
Autumn,03:00,42.49
Autumn,15:00,38.04
Winter,04:00,26.77
Autumn,13:00,42.48
Not Available,19:00,43.47
Autumn,01:00,32.52
Spring,14:00,46.75
Summer,08:00,56.4
Spring,16:00,31.41
Spring,13:00,30.46
Autumn,21:00,47.14
Summer,20:00,32.1
Spring,21:00,49.09
Not Available,17:00,35.67
Spring,18:00,43.43
Autumn,01:00,45.65
Summer,09:00,45.13
Spring,10:00,34.43
Autumn,20:00,41.99
Spring,20:00,44.19
Spring,19:00,48.41
Autumn,07:00,41.66
Autumn,02:00,42.57
Summer,00:00,47.2
Spring,06:00,34.01
Autumn,20:00,44.28
Autumn,08:00,44.24
Spring,01:00,43.51
Spring,18:00,42.25
Autumn,19:00,45.11
Spring,04:00,34.82
Spring,21:00,40.7
Spring,00:00,43.75
Autumn,05:00,36.88
Spring,10:00,32.06
Summer,08:00,55.02
Spring,05:00,46.48
Summer,00:00,37.02
Not Available,18:00,38.73
Spring,11:00,46.56
Not Available,11:00,47.63
Summer,13:00,42.74
Spring,16:00,48.73
Not Available,07:00,30.44
Autumn,17:00,44.99
Spring,09:00,38.61
Winter,20:00,15.68
Summer,06:00,58.09
Autumn,02:00,42.28
Autumn,06:00,30.04
Not Available,15:00,49.92
Autumn,07:00,39.67
Spring,17:00,43.96
Not Available,08:00,42.01
Spring,17:00,42.52
Spring,17:00,38.66
Not Available,07:00,49.93
Autumn,10:00,43.21
Not Available,02:00,48.65
Winter,22:00,27.96
Spring,07:00,32.54
Winter,10:00,29.44
Autumn,05:00,41.83
Spring,09:00,31.64
Winter,08:00,28.32
Autumn,07:00,45.59
Spring,22:00,42.63
Spring,17:00,41.48
Autumn,19:00,34.08
Autumn,01:00,44.37
Spring,06:00,40.57
Spring,02:00,46.17
Winter,16:00,22.84
Autumn,00:00,35.14
Spring,18:00,47.04
Winter,16:00,39.04
Not Available,09:00,46.31
Autumn,01:00,37.12
Winter,21:00,11.31
Not Available,01:00,33.41
Autumn,13:00,46.55
Autumn,12:00,44.93
Autumn,21:00,41.21
Summer,17:00,52.68
Winter,06:00,31.76
Spring,11:00,44.17
Spring,09:00,34.69
Autumn,14:00,40.31
Autumn,19:00,32.89
Not Available,20:00,43.53
Summer,21:00,41.06
Autumn,15:00,33.54
Not Available,03:00,38.42
Spring,13:00,37.95
Spring,04:00,39.5
Autumn,17:00,31.78
Autumn,16:00,47.97
Spring,11:00,30.77
Autumn,23:00,45.89
Summer,21:00,43.1
Spring,20:00,35.64
Spring,03:00,39.21
Summer,15:00,43.2
Autumn,03:00,48.82
Spring,13:00,32.99
Winter,04:00,23.01
Spring,08:00,34.84
Winter,15:00,29.16
Autumn,15:00,46.13
Spring,16:00,34.16
Autumn,04:00,42.68
Spring,19:00,35.76
Autumn,09:00,49.79
Winter,12:00,38.07
Not Available,15:00,42.24
Not Available,20:00,38.5
Spring,03:00,40.94
Not Available,20:00,38.97
Autumn,09:00,40.74
Spring,11:00,40.45
Autumn,21:00,31.67
Summer,18:00,40.3
Spring,06:00,31.17
Autumn,11:00,46.35
Summer,23:00,39.36
Spring,21:00,38.35
Summer,10:00,58.33
Spring,04:00,43.54
Summer,11:00,53.37
Summer,09:00,58.75
Summer,14:00,40.61
Spring,19:00,43.66
Autumn,20:00,42.33
Spring,21:00,44.64
Spring,19:00,41.75
Spring,14:00,38.05
Autumn,19:00,30.14
Autumn,04:00,36.79
Winter,01:00,14.12
Autumn,13:00,49.67
Autumn,02:00,34.03
Spring,19:00,43.55
Summer,17:00,46.93
Spring,09:00,32.52
Autumn,12:00,30.07
Summer,23:00,33.03
Spring,22:00,43.33
Spring,07:00,42.11
Spring,19:00,47.67
Summer,03:00,49.73
Autumn,22:00,41.91
Autumn,01:00,45.19
Spring,00:00,30.46
Autumn,05:00,32.59
Autumn,10:00,32.81
Summer,08:00,50.96
Spring,05:00,35.48
Spring,00:00,33.02
Spring,18:00,46.1
Spring,11:00,42.79
Spring,11:00,43.72
Spring,13:00,40.64
Spring,16:00,41.59
Autumn,07:00,31.07
Summer,17:00,42.48
Spring,20:00,39.01
Winter,06:00,32.22
Spring,02:00,48.23
Spring,06:00,31.04
Summer,15:00,47.38
Summer,07:00,47.51
Winter,17:00,39.38
Spring,08:00,32.4
Summer,17:00,51.47
Spring,17:00,47.78
Spring,07:00,31.9
Winter,10:00,35.06
Spring,02:00,38.91
Winter,08:00,22.09
Autumn,07:00,36.72
Spring,22:00,49.45
Autumn,17:00,45.2
Autumn,19:00,46.53
Autumn,01:00,38.8
Spring,06:00,35.07
Summer,02:00,47.78
Winter,16:00,24.72
Spring,00:00,47.22
Spring,18:00,32.96
Spring,16:00,32.0
